"CATY";"Cathay General Bancorp";0
"VEC";"VECTRUS INC";0
"FOR";"FORESTAR GROUP INC";0
"HRTG";"HERITAGE INSURANCE HLDGS INC";0
"ATRA";"ATARA BIOTHERAPEUTICS INC";0
"CASH";"META FINANCIAL GROUP";0
"FPI";"FARMLAND PARTNERS INC";0
"WLL";"WHITING PETROLEUM CORP";0
"ABTX";"ALLEGIANCE BANCSHA";0
"UIHC";"UNITED INSURANCE HOLDINGS CORP";0
"FULT";"FULTON FINANCIAL CORP";0
"HR";"HEALTHCARE REALTY TRUST INC";0
"MEIP";"MEI PHARMA INC";0
"ROIC";"RETAIL OPPORTUNITY INVESTMENTS CORP";0
"PRAA";"PRA GROUP INC";0
"LPSN";"LIVEPERSON INC";0
"VLGEA";"VILLAGE SUPER MARKET INC";0
"WING";"WINGSTOP INC";0
"CHMI";"CHERRY HILL MORTGAGE INV CORP";0
"INGN";"INOGEN INC";0
"OPTN";"OPTINOSE INC";0
"CVLT";"COMMVAULT SYSTEMS INC";0
"CLSN";"Celsion Corporation";0
"VRTU";"VIRTUSA CORP";0
"AEHR";"Aehr Test Systems";0
"EEX";"EMERALD HOLDING INC";0
"PEB";"PEBBLEBROOK HOTEL TRUST";0
"SSTK";"SHUTTERSTOCK INC";0
"QUAD";"QUAD/GRAPHICS INC";0
"BYFC";"Broadway Financial Corporation";0
"AMC";"AMC ENTERTAINMENT HOLDINGS INC";0
"LBC";"LUTHER BURBANK CORPORATION";0
"BFIN";"BankFinancial Corporation";0
"JBSS";"SANFILIPPO(JOHN B)& SON INC";0
"BLD";"TOPBUILD CORP";0
"CBL";"CBL & ASSOCIATES PROPERTIES INC";0
"BELFB";"Bel Fuse Inc.";0
"KELYA";"KELLY SERVICES INC";0
"WHD";"CACTUS INC";0
"KNSL";"KINSALE CAPITAL GROUP INC";0
"GABC";"GERMAN AMERN BANCORP";0
"TACO";"DEL TACO RESTAURANTS INC NEW";0
"BTU";"PEABODY ENERGY CO";0
"EFC";"ELLINGTON FINANCIAL INC";0
"TLYS";"TILLYS INC";0
"HAYN";"HAYNES INTERNATIONAL INC";0
"DDS";"DILLARDS INC";0
"PRTK";"PARATEK PHARMACEUTICALS INC";0
"JBT";"JOHN BEAN TECHNOLOGIES CORPORATION";0
"TCOM";"Trip.com Group Ltd";0
"AIN";"ALBANY INTERNATIONAL CORP";0
"VTRS";"Viatris Inc";0
"AJX";"GREAT AJAX CORP";0
"OII";"OCEANEERING INTERNATIONAL INC";0
"WDR";"WADDELL & REED FINANCIAL INC";0
"JACK";"JACK IN THE BOX INC";0
"IRTC";"IRHYTHM TECHNOLOGIES INC";0
"ESE";"ESCO TECHNOLOGIES INC";0
"HASI";"HANNON ARMSTRONG SUSTAINABLE INFL";0
"WORK";"Slack Technologies, Inc.";0
"GNL";"GLOBAL NET LEASE INC";0
"NGHC";"NATIONAL GENERAL HLDGS CO";0
"PLUS";"EPLUS INC";0
"AFMD";"AFFIMED N V";0
"CTRE";"CARETRUST REIT INC";0
"HMST";"HOMESTREET INC";0
"ALLT";"Allot Communications Ltd.";0
"NTES";"NetEase Inc";0
"JOUT";"JOHNSON OUTDOORS INC";0
"SFL";"SFL CORPORATION LTD";0
"CRAI";"CRA INTERNATIONAL INC";0
"GPOR";"GULFPORT ENERGY CORP";0
"TREX";"TREX COMPANY INC";0
"IHC";"INDEPENDENCE HLDGS";0
"AMNB";"American National Bankshares, Inc.";0
"RUN";"SUNRUN INC";0
"DY";"DYCOM INDUSTRIES";0
"REV";"REVLON INC";0
"CHGG";"Chegg, Inc.";0
"BCBP";"BCB Bancorp, Inc. (NJ)";0
"WASH";"WASHINGTON TRUST BANCORP INC";0
"YORW";"YORK WATER CO";0
"ENS";"ENERSYS";0
"CALX";"CALIX INC";0
"MLI";"MUELLER INDUSTRIES INC";0
"SBH";"SALLY BEAUTY HOLDINGS INC";0
"LSCC";"LATTICE SEMICONDUCTOR";0
"ZIOP";"ZIOPHARM ONCOLOGY INC";0
"NINE";"NINE ENERGY SERVICE INC";0
"BLX";"BC LATINOAMERICANO COM EX SA BLADEX";0
"VOXX";"Audiovox Corporation";0
"AUDC";"AudioCodes Ltd.";0
"MDRX";"Allscripts-Misys Healthcare Solutions, Inc.";0
"PRIM";"PRIMORIS SERVICES CORPORATION";0
"XNCR";"XENCOR INC";0
"ANDE";"Andersons, Inc. (The)";0
"CAPE";"Cape Fear Bank Corporation";0
"SXT";"SENSIENT TECHNOLOGIES CORP";0
"KRA";"KRATON CORPORATION";0
"LCI";"LANNETT CO INC";0
"SITE";"SITEONE LANDSCAPE SUPPLY INC";0
"PBYI";"PUMA BIOTECHNOLOGY INC";0
"BSRR";"SIERRA BANCORP";0
"LDL";"LYDALL INC";0
"ATRS";"ANTARES PHARMA INC";0
"RYI";"RYERSON HOLDING CORP";0
"ITIC";"INVESTORS TITLE CO";0
"BSET";"Bassett Furniture Industries, Incorporated";0
"LMNX";"LUMINEX CORP(DEL)";0
"RH";"RH";0
"FN";"FABRINET";0
"TRUP";"TRUPANION INC";0
"BXG";"BLUEGREEN VACATIONS CORP";0
"FRPH";"FRP HOLDINGS INC";0
"TDW";"TIDEWATER INC NEW";0
"AFI";"ARMSTRONG FLOORING INC";0
"GLOG";"GASLOG LTD";0
"IIVI";"II-VI INC";0
"DNLI";"DENALI THERAPEUTICS INC";0
"CMC";"COMMERCIAL METALS CO";0
"MUSA";"MURPHY USA INC";0
"RGR";"STURM RUGER & CO INC";0
"SSP";"SCRIPPS (EW) COMPANY";0
"SB";"SAFE BULKERS INC";0
"LBTYK";"Liberty Global PLC";0
"LOCO";"EL POLLO LOCO HOLDINGS INC";0
"HT";"HERSHA HOSPITALITY TRUST";0
"LCII";"LCI INDUSTRIES";0
"FBP";"FIRST BANCORP PUERTO RICO";0
"JCOM";"J2 GLOBAL INC";0
"CLW";"CLEARWATER PAPER CORPORATION";0
"SAIL";"SAILPOINT TECHNOLOGIES HOLDINGS INC";0
"TNET";"TRINET GROUP INC";0
"TTEC";"TTEC HOLDINGS INC";0
"FF";"FUTUREFUEL CORP";0
"ALKS";"Alkermes, Inc.";0
"METC";"RAMACO RESOURCES INC";0
"ERII";"ENERGY RECOVERY INC";0
"CAC";"Camden National Corporation";0
"IRET";"INVESTORS REAL ESTATE TRUST";0
"CEIX";"CONSOL ENERGY INC";0
"PRPL";"PURPLE INNOVATION INC";0
"MTW";"MANITOWOC CO INC";0
"VRS";"VERSO CORPORATION";0
"VRTS";"VIRTUS INVESTMENT PARTNERS INC";0
"HFWA";"HERITAGE FINANCIAL CORP";0
"HTBK";"HERITAGE COMMERCE CORP";0
"LILAK";"LIBERTY LATIN AMERICA LTD";0
"IMMR";"IMMERSION CORP";0
"EIG";"EMPLOYERS HOLDINGS INC";0
"PPBI";"PACIFIC PREMIER BANCORP INC";0
"NVAX";"NOVAVAX INC";0
"GES";"GUESS INC";0
"SAM";"BOSTON BEER CO INC";0
"ENTA";"ENANTA PHARMACEUTICALS INC";0
"SPTN";"SPARTANNASH CO";0
"CBTX";"CBTX INC";0
"EDIT";"EDITAS MEDICINE INC";0
"MGPI";"MGP INGREDIENTS INC NEW";0
"USPH";"US PHYSICAL THERAPY";0
"EBTC";"ENTERPRISE BANCORP INC";0
"HTH";"HILLTOP HOLDINGS INC";0
"UPLD";"UPLAND SOFTWARE INC";0
"ARCB";"ARCBEST CORP";0
"SXC";"SUNCOKE ENERGY INC";0
"EPAY";"Bottomline Technologies, Inc.";0
"SAIC";"SCIENCE APPLICATION INTL CORP";0
"HCC";"WARRIOR MET COAL INC";0
"SBSI";"SOUTHSIDE BANCSHARES INC";0
